"","site","long","lat"
"287","FHM 4014 Havnø",10.1624347,56.7156585
"288","FHM 4014 Havnø",10.1624347,56.7156585
"289","FHM 4014 Havnø",10.1624347,56.7156585
"290","FHM 4014 Havnø",10.1624347,56.7156585
"291","FHM 4014 Havnø",10.1624347,56.7156585
"292","FHM 4014 Havnø",10.1624347,56.7156585
"293","FHM 4014 Havnø",10.1624347,56.7156585
"294","FHM 4014 Havnø",10.1624347,56.7156585
"295","FHM 4014 Havnø",10.1624347,56.7156585
"296","FHM 4014 Havnø",10.1624347,56.7156585
"297","FHM 4014 Havnø",10.1624347,56.7156585
"298","FHM 4014 Havnø",10.1624347,56.7156585
"299","FHM 4014 Havnø",10.1624347,56.7156585
"300","FHM 4014 Havnø",10.1624347,56.7156585
"301","FHM 4014 Havnø",10.1624347,56.7156585
"302","FHM 4014 Havnø",10.1624347,56.7156585
"303","FHM 4014 Havnø",10.1624347,56.7156585
"304","FHM 4014 Havnø",10.1624347,56.7156585
"305","FHM 4014 Havnø",10.1624347,56.7156585
"306","FHM 4014 Havnø",10.1624347,56.7156585
"307","FHM 4014 Havnø",10.1624347,56.7156585
"308","FHM 4014 Havnø",10.1624347,56.7156585
"309","FHM 4014 Havnø",10.1624347,56.7156585
"310","FHM 4014 Havnø",10.1624347,56.7156585
"311","FHM 4014 Havnø",10.1624347,56.7156585
"312","FHM 4014 Havnø",10.1624347,56.7156585
"313","FHM 4014 Havnø",10.1624347,56.7156585
"314","FHM 4014 Havnø",10.1624347,56.7156585
"315","FHM 4014 Havnø",10.1624347,56.7156585
"316","FHM 4014 Havnø",10.1624347,56.7156585
"317","FHM 4014 Havnø",10.1624347,56.7156585
"318","FHM 4014 Havnø",10.1624347,56.7156585
"319","FHM 4014 Havnø",10.1624347,56.7156585
"320","FHM 4014 Havnø",10.1624347,56.7156585
"321","FHM 4014 Havnø",10.1624347,56.7156585
"322","FHM 4014 Havnø",10.1624347,56.7156585
"323","FHM 4014 Havnø",10.1624347,56.7156585
"324","FHM 4014 Havnø",10.1624347,56.7156585
"325","FHM 4014 Havnø",10.1624347,56.7156585
"326","FHM 4014 Havnø",10.1624347,56.7156585
"327","FHM 4014 Havnø",10.1624347,56.7156585
"328","FHM 4014 Havnø",10.1624347,56.7156585
"329","FHM 4014 Havnø",10.1624347,56.7156585
"330","FHM 4014 Havnø",10.1624347,56.7156585
"331","FHM 4014 Havnø",10.1624347,56.7156585
"332","FHM 4014 Havnø",10.1624347,56.7156585
"333","FHM 4014 Havnø",10.1624347,56.7156585
"334","FHM 4014 Havnø",10.1624347,56.7156585
"335","FHM 4014 Havnø",10.1624347,56.7156585
"336","FHM 4014 Havnø",10.1624347,56.7156585
"337","FHM 4014 Havnø",10.1624347,56.7156585
"338","FHM 4014 Havnø",10.1624347,56.7156585
"339","FHM 4014 Havnø",10.1624347,56.7156585
"340","FHM 4014 Havnø",10.1624347,56.7156585
"341","FHM 4014 Havnø",10.1624347,56.7156585
"342","FHM 4014 Havnø",10.1624347,56.7156585
"343","FHM 4014 Havnø",10.1624347,56.7156585
"344","FHM 4014 Havnø",10.1624347,56.7156585
"345","FHM 4014 Havnø",10.1624347,56.7156585
"346","FHM 4014 Havnø",10.1624347,56.7156585
"347","FHM 4014 Havnø",10.1624347,56.7156585
"348","FHM 4014 Havnø",10.1624347,56.7156585
"349","FHM 4014 Havnø",10.1624347,56.7156585
"350","FHM 4014 Havnø",10.1624347,56.7156585
"351","FHM 4014 Havnø",10.1624347,56.7156585
"352","FHM 4014 Havnø",10.1624347,56.7156585
"353","FHM 4014 Havnø",10.1624347,56.7156585
"354","FHM 4014 Havnø",10.1624347,56.7156585
"355","FHM 4014 Havnø",10.1624347,56.7156585
"356","FHM 4014 Havnø",10.1624347,56.7156585
"357","FHM 4014 Havnø",10.1624347,56.7156585
"358","FHM 4014 Havnø",10.1624347,56.7156585
"359","FHM 4014 Havnø",10.1624347,56.7156585
"360","FHM 4014 Havnø",10.1624347,56.7156585
"361","FHM 4014 Havnø",10.1624347,56.7156585
"362","FHM 4014 Havnø",10.1624347,56.7156585
"363","FHM 4014 Havnø",10.1624347,56.7156585
"364","FHM 4014 Havnø",10.1624347,56.7156585
"365","FHM 4014 Havnø",10.1624347,56.7156585
"366","FHM 4014 Havnø",10.1624347,56.7156585
"367","FHM 4014 Havnø",10.1624347,56.7156585
"368","FHM 4014 Havnø",10.1624347,56.7156585
"369","FHM 4014 Havnø",10.1624347,56.7156585
"370","FHM 4014 Havnø",10.1624347,56.7156585
"371","FHM 4014 Havnø",10.1624347,56.7156585
"372","FHM 4014 Havnø",10.1624347,56.7156585
"373","FHM 4014 Havnø",10.1624347,56.7156585
"374","FHM 4014 Havnø",10.1624347,56.7156585
"375","FHM 4014 Havnø",10.1624347,56.7156585
"376","FHM 4014 Havnø",10.1624347,56.7156585
"377","FHM 4014 Havnø",10.1624347,56.7156585
"378","FHM 4014 Havnø",10.1624347,56.7156585
"379","FHM 4014 Havnø",10.1624347,56.7156585
"380","FHM 4014 Havnø",10.1624347,56.7156585
"381","FHM 4014 Havnø",10.1624347,56.7156585
"382","FHM 4014 Havnø",10.1624347,56.7156585
"383","FHM 4014 Havnø",10.1624347,56.7156585
"384","FHM 4014 Havnø",10.1624347,56.7156585
"385","FHM 4014 Havnø",10.1624347,56.7156585
"386","FHM 4014 Havnø",10.1624347,56.7156585
"387","FHM 4014 Havnø",10.1624347,56.7156585
"388","FHM 4014 Havnø",10.1624347,56.7156585
"389","FHM 4014 Havnø",10.1624347,56.7156585
"390","FHM 4014 Havnø",10.1624347,56.7156585
"391","FHM 4014 Havnø",10.1624347,56.7156585
"392","FHM 4014 Havnø",10.1624347,56.7156585
"393","FHM 4014 Havnø",10.1624347,56.7156585
"394","FHM 4014 Havnø",10.1624347,56.7156585
"395","FHM 4014 Havnø",10.1624347,56.7156585
"396","FHM 4014 Havnø",10.1624347,56.7156585
"397","FHM 4014 Havnø",10.1624347,56.7156585
"398","FHM 4014 Havnø",10.1624347,56.7156585
"399","FHM 4014 Havnø",10.1624347,56.7156585
"400","FHM 1532 Holmegård",12.4557461,56.0476395
"401","FHM 1532 Holmegård",12.4557461,56.0476395
"402","FHM 1532 Holmegård",12.4557461,56.0476395
"403","FHM 1532 Holmegård",12.4557461,56.0476395
"404","FHM 1532 Holmegård",12.4557461,56.0476395
"405","FHM 1532 Holmegård",12.4557461,56.0476395
"406","FHM 1532 Holmegård",12.4557461,56.0476395
"407","FHM 1532 Holmegård",12.4557461,56.0476395
"408","FHM 1532 Holmegård",12.4557461,56.0476395
"409","FHM 1532 Holmegård",12.4557461,56.0476395
"410","FHM 1532 Holmegård",12.4557461,56.0476395
"411","FHM 1532 Holmegård",12.4557461,56.0476395
"412","FHM 1532 Holmegård",12.4557461,56.0476395
"413","FHM 1532 Holmegård",12.4557461,56.0476395
"414","FHM 1532 Holmegård",12.4557461,56.0476395
"415","FHM 1532 Holmegård",12.4557461,56.0476395
"416","FHM 1532 Holmegård",12.4557461,56.0476395
"417","FHM 1532 Holmegård",12.4557461,56.0476395
"418","FHM 1532 Holmegård",12.4557461,56.0476395
"419","FHM 1532 Holmegård",12.4557461,56.0476395
"420","FHM 1532 Holmegård",12.4557461,56.0476395
"421","FHM 1532 Holmegård",12.4557461,56.0476395
"422","FHM 1532 Holmegård",12.4557461,56.0476395
"423","FHM 1532 Holmegård",12.4557461,56.0476395
"424","FHM 1532 Holmegård",12.4557461,56.0476395
"425","FHM 1532 Holmegård",12.4557461,56.0476395
"426","FHM 1532 Holmegård",12.4557461,56.0476395
"427","FHM 1532 Holmegård",12.4557461,56.0476395
"428","FHM 1532 Holmegård",12.4557461,56.0476395
"429","FHM 1532 Holmegård",12.4557461,56.0476395
"430","FHM 1532 Holmegård",12.4557461,56.0476395
"431","FHM 1532 Holmegård",12.4557461,56.0476395
"432","FHM 1532 Holmegård",12.4557461,56.0476395
"433","FHM 2168 Ertebølle",9.1845656,56.8142288
"434","FHM 2168 Ertebølle",9.1845656,56.8142288
"435","FHM 2168 Ertebølle",9.1845656,56.8142288
"436","FHM 2168 Ertebølle",9.1845656,56.8142288
"437","FHM 2168 Ertebølle",9.1845656,56.8142288
"438","FHM 2168 Ertebølle",9.1845656,56.8142288
"439","FHM 2168 Ertebølle",9.1845656,56.8142288
"440","FHM 2168 Ertebølle",9.1845656,56.8142288
"441","FHM 2168 Ertebølle",9.1845656,56.8142288
"442","FHM 2168 Ertebølle",9.1845656,56.8142288
"443","FHM 2168 Ertebølle",9.1845656,56.8142288
"444","FHM 2168 Ertebølle",9.1845656,56.8142288
"445","FHM 2168 Ertebølle",9.1845656,56.8142288
"446","FHM 2168 Ertebølle",9.1845656,56.8142288
"447","FHM 2168 Ertebølle",9.1845656,56.8142288
"448","FHM 2168 Ertebølle",9.1845656,56.8142288
"449","FHM 2168 Ertebølle",9.1845656,56.8142288
"450","FHM 2168 Ertebølle",9.1845656,56.8142288
"451","FHM 2168 Ertebølle",9.1845656,56.8142288
